batch_idx,timestamp_s,war,gwar,promotion_fraction,n_star,n_tokens
391,11.4856,0.0,0.0,0.0,16,52
392,11.5149,0.0,0.0,0.0,16,55
393,11.5442,0.0,0.0,0.0,16,39
394,11.5735,0.0,0.8466,0.7006,16,49
395,11.6028,0.0,1.0,0.8765,16,53
396,11.6321,0.0,0.0,0.0,16,45
397,11.6614,0.0,0.9081,0.7515,16,43
398,11.6907,0.0,0.0,0.0,16,47
399,11.72,0.0,0.0,0.0,16,48
400,11.7493,0.0,0.8964,0.7418,16,49
401,11.7786,0.0,0.9421,0.7795,16,57
402,11.8079,0.0,0.6973,0.577,16,56
403,11.8372,0.0,0.895,0.7406,16,60
404,11.8665,0.0,0.9465,0.7832,16,49
405,11.8958,0.0,0.0,0.0,16,55
406,11.9251,0.0,0.8134,0.6731,16,54
407,11.9544,0.0,0.8679,0.7181,16,45
408,11.9837,0.0,0.0,0.0,16,53
409,12.013,0.0,0.0,0.0,16,55
410,12.0423,0.0,0.8134,0.6731,16,57
411,12.0716,0.0,0.0,0.0,16,40
412,12.1009,0.0,0.7707,0.6378,16,57
413,12.1302,0.0,0.0,0.0,16,40
414,12.1595,0.0,0.0,0.0,16,55
415,12.1888,0.0,0.0,0.0,16,50
416,12.2181,0.0,0.8261,0.6836,16,65
417,12.2474,0.0,0.7153,0.5919,16,58
418,12.2767,0.0,0.0,0.0,16,44
419,12.306,0.0,0.7278,0.6022,16,57
420,12.3353,0.0,0.769,0.6363,16,73
421,12.3646,0.0,0.7988,0.661,16,55
422,12.3939,0.0,0.7119,0.5891,16,72
423,12.4232,0.0,1.0,0.8545,16,52
424,12.4525,0.0,0.0,0.0,16,45
425,12.4818,0.0,1.0,0.9453,16,47
426,12.5111,0.0,0.0,0.0,16,42
427,12.5404,0.0,0.7873,0.6515,16,62
428,12.5697,0.0,0.8803,0.7284,16,61
429,12.599,0.0,0.8542,0.7068,16,60
430,12.6283,0.0,1.0,1.0,16,53
431,12.6576,0.0,0.0,0.0,16,48
432,12.6869,0.0,0.6619,0.5477,16,59
433,12.7162,0.0,0.7544,0.6242,16,55
434,12.7455,0.0,0.7573,0.6267,16,58
435,12.7748,0.0,0.0,0.0,16,43
436,12.8041,0.0,1.0,0.8294,16,56
437,12.8334,0.0,0.8564,0.7086,16,57
438,12.8627,0.0,1.0,0.8601,16,54
439,12.892,0.0,0.0,0.0,16,44
440,12.9213,0.0,0.0,0.0,16,38
441,12.9506,0.0,0.0,0.0,16,56
442,12.9799,0.0,0.0,0.0,16,48
443,13.0092,0.0,0.0,0.0,16,43
444,13.0385,0.0,0.6863,0.5679,16,64
445,13.0678,0.0,0.9274,0.7674,16,50
446,13.0971,0.0,0.0,0.0,16,50
447,13.1264,0.0,0.0,0.0,16,49
448,13.1557,0.0,0.0,0.0,16,48
449,13.185,0.0,0.0,0.0,16,52
450,13.2143,0.0,0.0,0.0,16,45
451,13.2436,0.0,0.0,0.0,16,52
452,13.2729,0.0,0.7153,0.5919,16,58
453,13.3022,0.0,0.6973,0.577,16,63
454,13.3315,0.0,0.8505,0.7038,16,66
455,13.3608,0.0,0.0,0.0,16,43
456,13.3901,0.0,0.8134,0.6731,16,60
457,13.4194,0.0,0.0,0.0,16,42
458,13.4487,0.0,0.0,0.0,16,46
459,13.478,0.0,0.9152,0.7573,16,48
460,13.5073,0.0,0.0,0.0,16,32
461,13.5366,0.0,0.8403,0.6953,16,61
462,13.5659,0.0,0.0,0.0,16,41
463,13.5952,0.0,0.0,0.0,16,53
464,13.6245,0.0,1.0,0.8316,16,51
465,13.6538,0.0,1.0,0.8446,16,55
466,13.6831,0.0,1.0,0.8975,16,54
467,13.7124,0.0,0.8837,0.7313,16,58
468,13.7417,0.0,0.0,0.0,16,36
469,13.771,0.0,0.9914,0.8203,16,64
470,13.8003,0.0,0.0,0.0,16,47
471,13.8296,0.0,0.0,0.0,16,42
472,13.8589,0.0,0.0,0.0,16,58
473,13.8882,0.0,0.0,0.0,16,51
474,13.9175,0.0,0.0,0.0,16,48
475,13.9468,0.0,0.9465,0.7832,16,49
476,13.9761,0.0,0.955,0.7902,16,46
477,14.0054,0.0,0.0,0.0,16,56
478,14.0347,0.0,0.0,0.0,16,49
479,14.064,0.0,0.7656,0.6335,16,51
480,14.0933,0.0,0.0,0.0,16,53
481,14.1226,0.0,0.8134,0.6731,16,51
482,14.1519,0.0,0.7085,0.5863,16,62
483,14.1812,0.0,0.0,0.0,16,39
484,14.2105,0.0,0.0,0.0,16,51
485,14.2398,0.0,0.8786,0.727,16,50
486,14.2691,0.0,1.0,0.8593,16,47
487,14.2984,0.0,0.902,0.7464,16,46
488,14.3277,0.0,0.6199,0.513,16,63
489,14.357,0.0,0.0,0.0,16,43
490,14.3863,0.0,0.0,0.0,16,54
491,14.4156,0.0,0.0,0.0,16,42
492,14.4449,0.0,0.8134,0.6731,16,57
493,14.4742,0.0,0.0,0.0,16,44
494,14.5035,0.0,0.8564,0.7086,16,57
495,14.5328,0.0,0.0,0.0,16,52
496,14.5621,0.0,0.0,0.0,16,46
497,14.5914,0.0,0.7656,0.6335,16,51
498,14.6207,0.0,0.7134,0.5903,16,65
499,14.65,0.0,0.0,0.0,16,45
