iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
64,1.92,stationary,Static_Tmax,0.781469,0.020936,0.018531,0.0,0.0,30.0,single_a6000,4,step,N/A
65,1.95,stationary,PI_adaptive,0.793036,0.020955,0.006964,0.0,8e-06,30.0,single_a6000,4,step,0.998494
65,1.95,stationary,Static_Tmax,0.772467,0.020936,0.027533,0.0,0.0,30.0,single_a6000,4,step,N/A
66,1.98,stationary,PI_adaptive,0.814208,0.020938,-0.014208,0.0,-1.7e-05,30.0,single_a6000,4,step,0.998494
66,1.98,stationary,Static_Tmax,0.795556,0.020936,0.004444,0.0,0.0,30.0,single_a6000,4,step,N/A
67,2.01,stationary,PI_adaptive,0.770741,0.020956,0.029259,0.0,3.5e-05,30.0,single_a6000,4,step,0.998494
67,2.01,stationary,Static_Tmax,0.779689,0.020936,0.020311,0.0,0.0,30.0,single_a6000,4,step,N/A
68,2.04,stationary,PI_adaptive,0.807862,0.020947,-0.007862,0.0,-1e-05,30.0,single_a6000,4,step,0.998494
68,2.04,stationary,Static_Tmax,0.816763,0.020936,-0.016763,0.0,0.0,30.0,single_a6000,4,step,N/A
69,2.07,stationary,PI_adaptive,0.840788,0.020929,-0.040788,0.0,-4.9e-05,30.0,single_a6000,4,step,0.998494
69,2.07,stationary,Static_Tmax,0.858278,0.020936,-0.058278,0.0,0.0,30.0,single_a6000,4,step,N/A
70,2.1,stationary,PI_adaptive,0.80772,0.02092,-0.00772,0.0,-9e-06,30.0,single_a6000,4,step,0.998494
70,2.1,stationary,Static_Tmax,0.78021,0.020936,0.01979,0.0,0.0,30.0,single_a6000,4,step,N/A
71,2.13,stationary,PI_adaptive,0.756054,0.020938,0.043946,0.0,5.3e-05,30.0,single_a6000,4,step,0.998494
71,2.13,stationary,Static_Tmax,0.805355,0.020936,-0.005355,0.0,0.0,30.0,single_a6000,4,step,N/A
72,2.16,stationary,PI_adaptive,0.783875,0.020956,0.016125,0.0,1.9e-05,30.0,single_a6000,4,step,0.998494
72,2.16,stationary,Static_Tmax,0.791693,0.020936,0.008307,0.0,0.0,30.0,single_a6000,4,step,N/A
73,2.19,stationary,PI_adaptive,0.789327,0.020969,0.010673,0.0,1.3e-05,30.0,single_a6000,4,step,0.998494
73,2.19,stationary,Static_Tmax,0.797185,0.020936,0.002815,0.0,0.0,30.0,single_a6000,4,step,N/A
74,2.22,stationary,PI_adaptive,0.823916,0.020951,-0.023916,0.0,-2.9e-05,30.0,single_a6000,4,step,0.998494
74,2.22,stationary,Static_Tmax,0.803142,0.020936,-0.003142,0.0,0.0,30.0,single_a6000,4,step,N/A
75,2.25,stationary,PI_adaptive,0.798017,0.020954,0.001983,0.0,2e-06,30.0,single_a6000,4,step,0.998494
75,2.25,stationary,Static_Tmax,0.779288,0.020936,0.020712,0.0,0.0,30.0,single_a6000,4,step,N/A
76,2.28,stationary,PI_adaptive,0.767895,0.020972,0.032105,0.0,3.9e-05,30.0,single_a6000,4,step,0.998494
76,2.28,stationary,Static_Tmax,0.790274,0.020936,0.009726,0.0,0.0,30.0,single_a6000,4,step,N/A
77,2.31,stationary,PI_adaptive,0.801744,0.02097,-0.001744,0.0,-2e-06,30.0,single_a6000,4,step,0.998494
77,2.31,stationary,Static_Tmax,0.835359,0.020936,-0.035359,0.0,0.0,30.0,single_a6000,4,step,N/A
78,2.34,stationary,PI_adaptive,0.805275,0.020964,-0.005275,0.0,-6e-06,30.0,single_a6000,4,step,0.998494
78,2.34,stationary,Static_Tmax,0.819655,0.020936,-0.019655,0.0,0.0,30.0,single_a6000,4,step,N/A
79,2.37,stationary,PI_adaptive,0.792197,0.020973,0.007803,0.0,9e-06,30.0,single_a6000,4,step,0.998494
79,2.37,stationary,Static_Tmax,0.776302,0.020936,0.023698,0.0,0.0,30.0,single_a6000,4,step,N/A
80,2.4,stationary,PI_adaptive,0.783636,0.020992,0.016364,0.0,2e-05,30.0,single_a6000,4,step,0.998494
80,2.4,stationary,Static_Tmax,0.785496,0.020936,0.014504,0.0,0.0,30.0,single_a6000,4,step,N/A
81,2.43,stationary,PI_adaptive,0.846934,0.020974,-0.046934,0.0,-5.7e-05,30.0,single_a6000,4,step,0.998494
81,2.43,stationary,Static_Tmax,0.783573,0.020936,0.016427,0.0,0.0,30.0,single_a6000,4,step,N/A
82,2.46,stationary,PI_adaptive,0.819737,0.020956,-0.019737,0.0,-2.4e-05,30.0,single_a6000,4,step,0.998494
82,2.46,stationary,Static_Tmax,0.781942,0.020936,0.018058,0.0,0.0,30.0,single_a6000,4,step,N/A
83,2.49,stationary,PI_adaptive,0.820191,0.020938,-0.020191,0.0,-2.4e-05,30.0,single_a6000,4,step,0.998494
83,2.49,stationary,Static_Tmax,0.8077,0.020936,-0.0077,0.0,0.0,30.0,single_a6000,4,step,N/A
84,2.52,stationary,PI_adaptive,0.79701,0.020942,0.00299,0.0,4e-06,30.0,single_a6000,4,step,0.998494
84,2.52,stationary,Static_Tmax,0.799185,0.020936,0.000815,0.0,0.0,30.0,single_a6000,4,step,N/A
85,2.55,stationary,PI_adaptive,0.787338,0.020957,0.012662,0.0,1.5e-05,30.0,single_a6000,4,step,0.998494
85,2.55,stationary,Static_Tmax,0.808922,0.020936,-0.008922,0.0,0.0,30.0,single_a6000,4,step,N/A
86,2.58,stationary,PI_adaptive,0.792549,0.020966,0.007451,0.0,9e-06,30.0,single_a6000,4,step,0.998494
86,2.58,stationary,Static_Tmax,0.775489,0.020936,0.024511,0.0,0.0,30.0,single_a6000,4,step,N/A
87,2.61,stationary,PI_adaptive,0.776806,0.020984,0.023194,0.0,2.8e-05,30.0,single_a6000,4,step,0.998494
87,2.61,stationary,Static_Tmax,0.803452,0.020936,-0.003452,0.0,0.0,30.0,single_a6000,4,step,N/A
88,2.64,stationary,PI_adaptive,0.83537,0.020966,-0.03537,0.0,-4.3e-05,30.0,single_a6000,4,step,0.998494
88,2.64,stationary,Static_Tmax,0.8032,0.020936,-0.0032,0.0,0.0,30.0,single_a6000,4,step,N/A
89,2.67,stationary,PI_adaptive,0.800011,0.020966,-1.1e-05,0.0,-0.0,30.0,single_a6000,4,step,0.998494
89,2.67,stationary,Static_Tmax,0.805717,0.020936,-0.005717,0.0,0.0,30.0,single_a6000,4,step,N/A
90,2.7,stationary,PI_adaptive,0.828509,0.020948,-0.028509,0.0,-3.4e-05,30.0,single_a6000,4,step,0.998494
