iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
36,1.08,sinusoidal,PI_adaptive,0.789891,0.020819,0.010109,-0.0,1.2e-05,30.0,single_a6000,4,sinusoidal,0.998494
36,1.08,sinusoidal,Static_Tmax,0.828077,0.020936,-0.028077,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
37,1.11,sinusoidal,PI_adaptive,0.812563,0.020804,-0.012563,-0.0,-1.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
37,1.11,sinusoidal,Static_Tmax,0.83243,0.020936,-0.03243,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
38,1.14,sinusoidal,PI_adaptive,0.800476,0.020803,-0.000476,-0.0,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
38,1.14,sinusoidal,Static_Tmax,0.822277,0.020936,-0.022277,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
39,1.17,sinusoidal,PI_adaptive,0.821972,0.020784,-0.021972,-0.0,-2.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
39,1.17,sinusoidal,Static_Tmax,0.813404,0.020936,-0.013404,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
40,1.2,sinusoidal,PI_adaptive,0.817677,0.020766,-0.017677,-0.0,-2.1e-05,30.0,single_a6000,4,sinusoidal,0.998494
40,1.2,sinusoidal,Static_Tmax,0.806836,0.020936,-0.006836,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
41,1.23,sinusoidal,PI_adaptive,0.800356,0.020765,-0.000356,-0.0,-0.0,30.0,single_a6000,4,sinusoidal,0.998494
41,1.23,sinusoidal,Static_Tmax,0.812923,0.020936,-0.012923,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
42,1.26,sinusoidal,PI_adaptive,0.784146,0.020783,0.015854,-0.0,1.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
42,1.26,sinusoidal,Static_Tmax,0.830779,0.020936,-0.030779,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
43,1.29,sinusoidal,PI_adaptive,0.800555,0.020782,-0.000555,-0.0,-1e-06,30.0,single_a6000,4,sinusoidal,0.998494
43,1.29,sinusoidal,Static_Tmax,0.821771,0.020936,-0.021771,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
44,1.32,sinusoidal,PI_adaptive,0.819984,0.020764,-0.019984,-0.0,-2.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
44,1.32,sinusoidal,Static_Tmax,0.830932,0.020936,-0.030932,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
